%% LaTeX2e file `dynamite-mitra.data'
%% generated by the `filecontents' environment
%% from source `thesis' on 2020/05/22.
%%
                        a    b
                        Yelp    6.0
                        IMDB    2.7
                        DBLP    0.8
                        Mondial 2.5
                    
